,count,unique,top,freq,mean,std,min,25%,50%,75%,max,null_count
cntincpaycont9m_3716944L,1071469.0,,,,6.190625190734863,6.185545921325684,0.0,0.0,5.0,9.0,575.0,455190
cntpmts24_3658933L,1065837.0,,,,10.630643844604492,7.888572692871094,0.0,4.0,10.0,17.0,25.0,460822
commnoinclast6m_3546845L,1183284.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343375
credamount_770A,1526659.0,,,,49870.1640625,44183.6953125,2000.0,19998.0,35199.40234375,63980.0,950000.0,0
credtype_322L,1526658,3,COL,988376,,,,,,,,1
currdebt_22A,1526655.0,,,,19682.416015625,50835.28515625,0.0,0.0,0.0,13492.099609375,1210629.125,4
currdebtcredtyperange_828A,1526655.0,,,,10996.361328125,36790.3203125,0.0,0.0,0.0,0.0,1029392.8125,4
daysoverduetolerancedd_3976961L,1074065.0,,,,96.3575439453125,481.2986755371094,0.0,0.0,2.0,14.0,5337.0,452594
deferredmnthsnum_166L,1526659.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
disbursedcredamount_1113A,1526659.0,,,,46074.75390625,42505.4453125,0.0,18400.0,31946.0,60000.0,950000.0,0
disbursementtype_67L,1525793,3,SBA,1138811,,,,,,,,866
downpmt_116A,1526659.0,,,,552.3809204101562,4100.82470703125,0.0,0.0,0.0,0.0,461867.40625,0
eir_270L,1335826.0,,,,0.2771141529083252,0.19753432273864746,0.0,0.0,0.40049999952316284,0.43299999833106995,0.44999998807907104,190833
equalitydataagreement_891L,78027,2,true,73064,,,,,,,,1448632
equalityempfrom_62L,37812,2,true,36784,,,,,,,,1488847
homephncnt_628L,1526659.0,,,,0.635745108127594,0.8488274812698364,0.0,0.0,0.0,1.0,14.0,0
inittransactionamount_650A,192302.0,,,,32560.267578125,33141.95703125,0.0,10176.0,24376.0,45235.75,200000.0,1334357
inittransactioncode_186L,1526658,3,POS,1139228,,,,,,,,1
interestrate_311L,1335826.0,,,,0.2771141529083252,0.19753432273864746,0.0,0.0,0.40049999952316284,0.43299999833106995,0.44999998807907104,190833
interestrategrace_34L,20883.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505776
isbidproduct_1095L,1526659,2,False,1350049,,,,,,,,0
isbidproductrequest_292L,12458,2,false,12457,,,,,,,,1514201
isdebitcard_729L,192302,1,false,192302,,,,,,,,1334357
lastapprcommoditycat_1041M,1526659,45,a55475b1,852246,,,,,,,,0
lastapprcommoditytypec_5251766M,1526659,214,a55475b1,1503657,,,,,,,,0
lastapprcredamount_781A,1084618.0,,,,36890.34765625,37004.78515625,0.0,12900.0,24774.0,47998.0,400000.0,442041
lastcancelreason_561M,1526659,74,a55475b1,1074053,,,,,,,,0
lastdependentsnum_448L,29517.0,,,,0.5796998143196106,1.0422981977462769,0.0,0.0,0.0,1.0,14.0,1497142
lastotherinc_902A,3056.0,,,,782.2620239257812,3472.67626953125,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,30000.0,1523603
lastotherlnsexpense_631A,3058.0,,,,9367.1728515625,19349.990234375,0.0,0.0,0.0,6000.0,270000.0,1523601
lastrejectcommoditycat_161M,1526659,45,a55475b1,1215985,,,,,,,,0
lastrejectcommodtypec_5251769M,1526659,187,a55475b1,1513847,,,,,,,,0
lastrejectcredamount_222A,757613.0,,,,51049.05859375,53172.0078125,0.0,16198.0,33998.0,66000.0,1000000.0,769046
lastrejectreason_759M,1526659,18,a55475b1,953655,,,,,,,,0
lastrejectreasonclient_4145040M,1526659,14,a55475b1,975347,,,,,,,,0
lastst_736L,1221522,11,D,386249,,,,,,,,305137
maininc_215A,1015404.0,,,,49485.65234375,32264.13671875,0.0,30000.0,40000.0,60000.0,200000.0,511255
mastercontrelectronic_519L,1220640.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306019
mastercontrexist_109L,1220640.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306019
maxannuity_159A,1220640.0,,,,34606.56640625,94998.0,0.0,4000.0,10758.525390625,30600.0,20923088.0,306019
maxannuity_4075009A,75933.0,,,,41559.71875,85729.9765625,600.0,10000.0,15020.0,23600.0,601320.0,1450726
maxdbddpdlast1m_3658939P,565706.0,,,,45.04647445678711,464.77191162109375,-1237.0,-9.0,-2.0,0.0,4804.0,960953
maxdbddpdtollast12m_3658940P,821155.0,,,,52.771358489990234,424.6626892089844,-1199.0,-1.0,0.0,2.0,4804.0,705504
maxdbddpdtollast6m_4187119P,650383.0,,,,48.51414489746094,434.6208801269531,-1225.0,-2.0,0.0,1.0,4804.0,876276
maxdebt4_972A,1220640.0,,,,48397.60546875,53398.88671875,0.0,7112.97265625,32965.703125,70321.5625,1740000.0,306019
maxdpdfrom6mto36m_3546853P,1183284.0,,,,32.41556930541992,247.0706024169922,0.0,0.0,0.0,2.0,4465.0,343375
maxdpdinstlnum_3546846P,697257.0,,,,8.254666328430176,6.003637790679932,0.0,4.0,7.0,11.0,105.0,829402
maxdpdlast12m_727P,1220640.0,,,,16.602231979370117,192.64208984375,0.0,0.0,0.0,0.0,4629.0,306019
maxdpdlast24m_143P,1220640.0,,,,26.379457473754883,231.0952911376953,0.0,0.0,0.0,2.0,4629.0,306019
maxdpdlast3m_392P,1220640.0,,,,6.660290718078613,137.7646484375,0.0,0.0,0.0,0.0,4629.0,306019
maxdpdlast6m_474P,1220640.0,,,,10.06225872039795,158.74478149414062,0.0,0.0,0.0,0.0,4629.0,306019
maxdpdlast9m_1059P,1220640.0,,,,13.421645164489746,176.95484924316406,0.0,0.0,0.0,0.0,4629.0,306019
maxdpdtolerance_374P,1220640.0,,,,53.43592071533203,284.7601013183594,0.0,0.0,1.0,8.0,4629.0,306019
maxinstallast24m_3658928A,901784.0,,,,15394.1064453125,25431.7265625,0.0,3258.400146484375,6648.60009765625,15198.4501953125,1009600.8125,624875
maxlnamtstart6m_4525199A,493803.0,,,,44908.55078125,38071.828125,0.0,19399.0,32934.6015625,58313.703125,518629.59375,1032856
maxoutstandbalancel12m_4187113A,759701.0,,,,71363.984375,81867.96875,-7588198.5,20064.0,42520.40234375,90026.0,1235312.875,766958
maxpmtlast3m_4525190A,397329.0,,,,9970.8193359375,18769.595703125,0.0,2566.60009765625,4904.0,9300.7998046875,538113.0,1129330
mindbddpdlast24m_3658935P,913457.0,,,,-0.34470587968826294,303.5340270996094,-1284.0,-36.0,-17.0,-7.0,4709.0,613202
mindbdtollast24m_4525191P,553832.0,,,,-1.384096622467041,306.3763732910156,-1284.0,-38.0,-17.0,-7.0,4709.0,972827
mobilephncnt_593L,1526659.0,,,,1.772636890411377,1.1330395936965942,0.0,1.0,1.0,2.0,23.0,0
monthsannuity_845L,1074066.0,,,,25.84231948852539,22.95623016357422,0.0,9.0,18.0,35.0,167.0,452593
numactivecreds_622L,1526659.0,,,,0.47058117389678955,0.7083305716514587,0.0,0.0,0.0,1.0,7.0,0
numactivecredschannel_414L,1526659.0,,,,0.10182103514671326,0.3253374695777893,0.0,0.0,0.0,0.0,4.0,0
numactiverelcontr_750L,1526659.0,,,,0.24349313974380493,0.47195008397102356,0.0,0.0,0.0,0.0,8.0,0
numcontrs3months_479L,1526659.0,,,,0.2710002660751343,0.7902545928955078,0.0,0.0,0.0,0.0,58.0,0
numincomingpmts_3546848L,1071578.0,,,,32.41246795654297,32.93960952758789,0.0,10.0,21.0,43.0,843.0,455081
numinstlallpaidearly3d_817L,1080990.0,,,,20.63138198852539,25.69817543029785,0.0,4.0,12.0,27.0,377.0,445669
numinstls_657L,1526655.0,,,,7.73069953918457,15.648902893066406,0.0,0.0,0.0,12.0,448.0,4
numinstlsallpaid_934L,1080990.0,,,,27.317495346069336,29.807369232177734,0.0,8.0,17.0,36.0,385.0,445669
numinstlswithdpd10_728L,1070164.0,,,,3.612954616546631,11.218278884887695,0.0,0.0,0.0,1.0,330.0,456495
numinstlswithdpd5_4187116L,965535.0,,,,2.243969440460205,4.8062744140625,0.0,0.0,0.0,2.0,89.0,561124
numinstlswithoutdpd_562L,1070164.0,,,,31.72642707824707,32.8876838684082,0.0,10.0,21.0,42.0,861.0,456495
numinstmatpaidtearly2d_4499204L,679468.0,,,,22.720888137817383,27.310110092163086,0.0,5.0,13.0,29.0,347.0,847191
numinstpaid_4499208L,679468.0,,,,33.473472595214844,33.89869689941406,0.0,11.0,22.0,44.0,393.0,847191
numinstpaidearly3d_3546850L,1079676.0,,,,19.892820358276367,24.74423599243164,0.0,4.0,11.0,26.0,373.0,446983
numinstpaidearly3dest_4493216L,686013.0,,,,20.467737197875977,25.30322265625,0.0,4.0,12.0,26.0,322.0,840646
numinstpaidearly5d_1087L,1074066.0,,,,4.571859836578369,8.803407669067383,0.0,0.0,2.0,6.0,278.0,452593
numinstpaidearly5dest_4493211L,686013.0,,,,3.2504806518554688,4.437851905822754,0.0,0.0,2.0,5.0,59.0,840646
numinstpaidearly5dobd_4499205L,679468.0,,,,16.5049991607666,22.35127067565918,0.0,3.0,9.0,21.0,306.0,847191
numinstpaidearly_338L,1074066.0,,,,16.17540740966797,21.938419342041016,0.0,3.0,9.0,21.0,373.0,452593
numinstpaidearlyest_4493214L,686013.0,,,,16.51207733154297,22.3544921875,0.0,3.0,9.0,21.0,306.0,840646
numinstpaidlastcontr_4325080L,857473.0,,,,7.746829509735107,6.1244730949401855,0.0,3.0,6.0,12.0,77.0,669186
numinstpaidlate1d_3546852L,1074066.0,,,,5.483399391174316,8.650442123413086,0.0,0.0,2.0,7.0,137.0,452593
numinstregularpaid_973L,1071047.0,,,,30.022003173828125,32.28830337524414,0.0,9.0,18.0,39.0,393.0,455612
numinstregularpaidest_4493210L,686013.0,,,,33.487335205078125,33.90761184692383,0.0,11.0,22.0,44.0,393.0,840646
numinsttopaygr_769L,1074065.0,,,,5.955126762390137,10.187257766723633,0.0,0.0,0.0,9.0,152.0,452594
numinsttopaygrest_4493213L,686013.0,,,,5.8429083824157715,10.197811126708984,0.0,0.0,0.0,8.0,152.0,840646
numinstunpaidmax_3546851L,1074065.0,,,,5.409234046936035,8.918625831604004,0.0,0.0,0.0,8.0,72.0,452594
numinstunpaidmaxest_4493212L,686013.0,,,,5.298332691192627,8.889129638671875,0.0,0.0,0.0,8.0,72.0,840646
numnotactivated_1143L,1526659.0,,,,0.02171211689710617,0.15730158984661102,0.0,0.0,0.0,0.0,4.0,0
numpmtchanneldd_318L,1526659.0,,,,0.024416716769337654,0.16197215020656586,0.0,0.0,0.0,0.0,4.0,0
numrejects9m_859L,1526659.0,,,,0.36876341700553894,1.2482768297195435,0.0,0.0,0.0,0.0,153.0,0
opencred_647L,1221522,2,false,1170710,,,,,,,,305137
paytype1st_925L,1468084,1,OTHER,1468084,,,,,,,,58575
paytype_783L,1468084,1,OTHER,1468084,,,,,,,,58575
pctinstlsallpaidearl3d_427L,1067921.0,,,,0.5988250374794006,0.34894129633903503,0.0,0.3473699986934662,0.6190500259399414,0.8461499810218811,23.0,458738
pctinstlsallpaidlat10d_839L,1065297.0,,,,0.08004934340715408,0.16198229789733887,0.0,0.0,0.0,0.08332999795675278,1.111109972000122,461362
pctinstlsallpaidlate1d_3546856L,1067921.0,,,,0.1781565099954605,0.2284710556268692,0.0,0.0,0.08332999795675278,0.2777799963951111,1.0,458738
pctinstlsallpaidlate4d_3546849L,1066832.0,,,,0.11424149572849274,0.1908755898475647,0.0,0.0,0.016950000077486038,0.1552799940109253,2.0,459827
pctinstlsallpaidlate6d_3546844L,1066580.0,,,,0.09774196892976761,0.1778464913368225,0.0,0.0,0.0,0.11940000206232071,1.0,460079
pmtnum_254L,1481705.0,,,,17.074068069458008,9.786825180053711,3.0,12.0,12.0,24.0,60.0,44954
posfpd10lastmonth_333P,1448133.0,,,,0.016133876517415047,0.12599042057991028,0.0,0.0,0.0,0.0,1.0,78526
posfpd30lastmonth_3976960P,1394771.0,,,,0.00804935023188591,0.08935638517141342,0.0,0.0,0.0,0.0,1.0,131888
posfstqpd30lastmonth_3976962P,1345537.0,,,,0.030524615198373795,0.17202582955360413,0.0,0.0,0.0,0.0,1.0,181122
previouscontdistrict_112M,1526659,223,a55475b1,488428,,,,,,,,0
price_1097A,1303419.0,,,,34464.9765625,34483.16015625,0.0,13800.0,25156.0,45320.0,761867.4375,223240
sellerplacecnt_915L,1526659.0,,,,0.16284513473510742,0.4502502977848053,0.0,0.0,0.0,0.0,8.0,0
sellerplacescnt_216L,1526659.0,,,,1.615546703338623,2.0611517429351807,0.0,0.0,1.0,2.0,102.0,0
sumoutstandtotal_3546847A,1081339.0,,,,27681.2578125,58403.77734375,-25044.0,0.0,0.0,27994.0,1210629.125,445320
sumoutstandtotalest_4493215A,686013.0,,,,28309.73828125,60500.09765625,-25044.0,0.0,0.0,27984.0,1085048.125,840646
totaldebt_9A,1526656.0,,,,19683.1171875,50836.03515625,0.0,0.0,0.0,13493.099609375,1210629.125,3
totalsettled_863A,1526655.0,,,,92238.1640625,162335.78125,0.0,0.0,35977.6640625,118815.703125,48035036.0,4
totinstallast1m_4525188A,352448.0,,,,10411.375,16222.912109375,0.21400001645088196,3309.31396484375,6221.2001953125,11685.0,794899.1875,1174211
twobodfilling_608L,1526568,2,FO,1481471,,,,,,,,91
typesuite_864L,405154,1,AL,405154,,,,,,,,1121505
contractssum_5085716L,157329.0,,,,641604.375,980327.3125,0.0,78531.953125,307282.40625,802114.0625,31296760.0,1369330
days120_123L,1385691.0,,,,1.6077148914337158,2.083003282546997,0.0,0.0,1.0,2.0,109.0,140968
days180_256L,1385691.0,,,,2.3886559009552,2.8911147117614746,0.0,0.0,2.0,3.0,110.0,140968
days30_165L,1385691.0,,,,0.5177077651023865,0.8992376327514648,0.0,0.0,0.0,1.0,22.0,140968
days360_512L,1385691.0,,,,4.777066230773926,5.168856143951416,0.0,1.0,3.0,6.5,115.0,140968
days90_310L,1385691.0,,,,1.2114201784133911,1.6559313535690308,0.0,0.0,1.0,2.0,41.0,140968
description_5085714M,1500476,2,a55475b1,1316125,,,,,,,,26183
education_1103M,1500476,5,a55475b1,859962,,,,,,,,26183
education_88M,1500476,5,a55475b1,1484960,,,,,,,,26183
firstquarter_103L,1385691.0,,,,2.8605902194976807,3.6109659671783447,0.0,0.0,2.0,4.0,76.0,140968
for3years_128L,36514.0,,,,8.216026617446914e-05,0.009063982404768467,0.0,0.0,0.0,0.0,1.0,1490145
for3years_504L,36514.0,,,,4.3823466300964355,5.815514087677002,0.0,0.0,2.0,6.0,57.0,1490145
for3years_584L,36514.0,,,,0.0076956781558692455,0.09107120335102081,0.0,0.0,0.0,0.0,2.0,1490145
formonth_118L,36514.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490145
formonth_206L,36514.0,,,,0.0003560278273653239,0.018865598365664482,0.0,0.0,0.0,0.0,1.0,1490145
formonth_535L,36514.0,,,,0.2367585003376007,0.5354934930801392,0.0,0.0,0.0,0.0,11.0,1490145
forquarter_1017L,36514.0,,,,0.0009585364605300128,0.03349580243229866,0.0,0.0,0.0,0.0,2.0,1490145
forquarter_462L,36514.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490145
forquarter_634L,36514.0,,,,0.6139289140701294,1.1500014066696167,0.0,0.0,0.0,1.0,19.0,1490145
fortoday_1092L,36514.0,,,,0.03694473206996918,0.18920859694480896,0.0,0.0,0.0,0.0,2.0,1490145
forweek_1077L,36514.0,,,,5.477351078297943e-05,0.007400811649858952,0.0,0.0,0.0,0.0,1.0,1490145
forweek_528L,36514.0,,,,0.09012981504201889,0.2913022041320801,0.0,0.0,0.0,0.0,4.0,1490145
forweek_601L,36514.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490145
foryear_618L,36514.0,,,,5.477351078297943e-05,0.007400811649858952,0.0,0.0,0.0,0.0,1.0,1490145
foryear_818L,36514.0,,,,0.0020813934970647097,0.04904863238334656,0.0,0.0,0.0,0.0,2.0,1490145
foryear_850L,36514.0,,,,2.42071533203125,3.552459716796875,0.0,0.0,1.0,3.0,41.0,1490145
fourthquarter_440L,1385691.0,,,,2.8512136936187744,3.431652307510376,0.0,0.0,2.0,4.0,66.0,140968
maritalst_385M,1500476,6,a55475b1,661592,,,,,,,,26183
maritalst_893M,1500476,6,a55475b1,1479303,,,,,,,,26183
numberofqueries_373L,1385691.0,,,,4.777066230773926,5.168856143951416,0.0,1.0,3.0,6.5,115.0,140968
pmtaverage_3A,143589.0,,,,9303.171875,5562.38720703125,0.0,6590.60009765625,7305.89990234375,13023.900390625,145257.40625,1383070
pmtaverage_4527227A,114978.0,,,,10033.556640625,5455.84375,4.200000286102295,7192.0,7553.0,13464.400390625,205848.609375,1411681
pmtaverage_4955615A,71845.0,,,,17651.734375,6871.64208984375,4.400000095367432,13664.6005859375,15765.2001953125,21840.0,99085.3984375,1454814
pmtcount_4527229L,114978.0,,,,6.598027229309082,2.1889920234680176,1.0,6.0,6.0,6.0,15.0,1411681
pmtcount_4955617L,71845.0,,,,13.061118125915527,1.855216145515442,1.0,12.0,14.0,14.0,16.0,1454814
pmtcount_693L,146406.0,,,,5.714991092681885,1.758117437362671,0.0,6.0,6.0,6.0,66.0,1380253
pmtscount_423L,572638.0,,,,5.839291095733643,4.148263931274414,0.0,3.0,6.0,7.0,121.0,954021
pmtssum_45A,572638.0,,,,13199.9365234375,18117.21875,0.0,3156.400146484375,8391.900390625,16992.0,476843.40625,954021
requesttype_4525192L,673264,3,DEDUCTION_6,550387,,,,,,,,853395
riskassesment_302T,53559,16,3% - 4%,6445,,,,,,,,1473100
riskassesment_940T,53560.0,,,,0.22596801817417145,0.9761695265769958,-3.6704227924346924,-0.22798484563827515,0.371833860874176,0.9716525077819824,2.1191318035125732,1473099
secondquarter_766L,1385691.0,,,,2.6884818077087402,3.3245456218719482,0.0,0.0,2.0,4.0,109.0,140968
thirdquarter_1082L,1385691.0,,,,2.918341875076294,3.4238624572753906,0.0,0.0,2.0,4.0,62.0,140968
